,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
C,1.0,1.0546232295062363,1.408484347388946,2.321973650816677,3.180047255865824,3.2307096729954825,3.602383194201983,4.521498478660693,4.604976760522695,4.685208025351924,4.6934502332472645,4.71303950301316,4.79972818832602,4.805416984515145,4.805568797618924,4.82895744748111,4.829074772134367,4.85132074515133,4.8685281647862935,4.875576428101909,4.8803270808075645,4.896746705975737,4.916724370572747
C_Test,0.05462322950623622,1.0546232295062363,1.602218899118981,1.6290592132439732,1.7827812370775311,2.220174801194074,2.7210770717067176,2.771479363066799,2.819377081336373,2.8674284475002616,2.8922012657578144,2.9197847938359915,2.9697602633217364,2.9715036759203564,2.971840902204577,3.0441182171135504,3.044193084012806,3.1217139637636184,3.189264003147115,3.1933679319885946,3.2437070469808944,3.32692272672355,3.327076350885947
Html,0.35386111788270963,0.9014567874954542,1.9014567874954542,2.1451722971646494,2.708926795178201,3.1173348905297154,4.0499049287230395,4.340529039387115,4.451735254842065,4.566937196687736,4.593639532679391,4.63195612846648,4.728461917464256,4.731796767290599,4.7319340018113,4.819547611589214,4.819561644179736,4.92880444718969,5.024439650530664,5.027764652907882,5.103923184959319,5.1741571752299595,5.1882090203813105
Html_test,0.9134893034277308,0.940329617552723,1.1840451272219183,2.1840451272219186,2.892783250791514,2.9187676667467204,3.154306184898934,4.121074735566728,4.143823490394202,4.167706286551436,4.167717036666657,4.168119807684366,4.19418421151559,4.194192309724119,4.194240560682836,4.196532845367501,4.200639245569458,4.20526049950317,4.210168876523774,4.210504678606629,4.2135347607039915,4.21800629664051,4.218040407337089
Java,0.8580736050491474,1.0117956288827052,1.5755501268962568,2.284288250465852,3.284288250465852,3.4654102677296534,4.062532658995678,4.784914630550616,4.929812076294273,5.077103722812948,5.110034107786533,5.173261174214521,5.3168849077179425,5.343127450497931,5.346243179010354,5.417678681348452,5.418296521083241,5.492109205125101,5.550124467574452,5.5729155212119545,5.589157704497795,5.633846255695536,5.663609750016239
Java_test,0.05066241712965835,0.48805598124620087,0.8964640765977151,0.9224484925529214,1.1035705098167226,2.1035705098167226,2.483737057009376,2.5088300206852305,2.576900691842258,2.6539470594498393,2.714861685893114,2.7957242327079013,2.925976595835329,2.9435542873342313,2.9482374323588787,3.071501275283196,3.077750886292683,3.2000617529454796,3.3031848139410087,3.3116463677760235,3.3311345897509774,3.392533711575968,3.396543383749528
PHP,0.3716735212065008,0.8725757917191446,1.805145829912469,2.0406843480646826,2.637806739330707,3.0179732865233606,4.017973286523361,4.326913437669535,4.4802118594525915,4.634389327392036,4.685591109108238,4.7582287378259265,4.895598126594052,4.903496572039451,4.903555205164053,5.0053096551328045,5.006365908569803,5.144339476317005,5.26134066780822,5.262411888926802,5.3173671566892615,5.4074213323220714,5.455233499936807
PHP_test,0.9191152844587099,0.9695175758187915,1.260141686482867,2.226910237150661,2.9492922087055997,2.9743851723814543,3.283325323527628,4.283325323527627,4.31401897001497,4.344596460348447,4.345972745405765,4.34939062277213,4.380771452447415,4.3809465208758205,4.381249188046229,4.387864282238706,4.390605209345612,4.4008424983226595,4.410175382807353,4.410286427942315,4.413056207944998,4.42374922531977,4.42527149864969
InternetPenetration,0.08347828186200291,0.13137600013157663,0.24258221558652643,0.26533097041400056,0.4102284161576581,0.47829908731468546,0.6315975090977421,0.6622911555850842,1.6622911555850841,2.606024897330929,2.669371720345899,2.8973874489938862,3.5709628086189675,3.61358635251317,3.620006852562485,4.016953164399483,4.069226975414728,4.19133760530631,4.24758177505076,4.5154526223496445,4.516858044564397,4.55528535483556,4.9654783231229915
InternetUsers,0.08023126482922875,0.12828263099311718,0.24348457283878822,0.2673673689960222,0.4146590155146973,0.4917053831222786,0.6458828510617234,0.6764603413952006,1.6201940831410453,2.620194083141045,2.7175831802481722,2.9728271590589195,3.6608539423684903,3.6978696180562993,3.702954009598542,4.1266431840623214,4.180124493025772,4.29658357913125,4.351086366422965,4.588049559386825,4.58882812488374,4.628634875189639,5.017333634970743
UploadSpeed,0.008242207895340135,0.03301502615289308,0.05971736214454784,0.05972811225976925,0.09265849723335379,0.1535731236766285,0.20477490539283044,0.20615119045014868,0.2694980134651189,0.3668871105722462,1.3668871105722462,2.136949818321045,2.270467708984331,2.2970599944385452,2.297490876436064,2.38454407102246,2.4673628492664874,2.535469554212712,2.588650279616745,2.6159606503388,2.641573527564705,2.6842484286944335,2.7481121633966876
