Country,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
Aruba,0.0017264916794295993,0.0492504048169785,0.17646504155101478,0.06996466351650904,0.05653406827337654,0.0008757419536866189,0.07588800654534453,0.0534476210312761,0.020399149596090155,0.07907209014226665,0.10646857496904066,0.08084006819946861,0.16130440432459411,0.047622215750219354,0.0005044381168176908,0.0012780031870262627,5.3703461391284876e-05,0.003441088388857257,2.288127213547751e-05,0.006236827013850523,0.002600393053999136,0.0031540752153406226,0.0028500479412866216
Angola,0.7695554020843012,0.04874648612291433,5.860869119615448e-06,0.05231170287990312,0.0012291182683867433,0.0012138996834765727,0.033562097334085536,1.859951942006884e-05,0.002166519722171554,0.00197959376098441,0.008272220743715083,0.06053843747037254,0.0008598472904249738,0.0023133929735777263,0.0001915694986300774,9.031958958948794e-05,0.00018034206700137347,4.818216781636274e-05,0.007632605366907561,2.2090450826243257e-08,0.006254205340887641,0.002822528568179922,7.046587683408298e-06
Albania,0.12275822120664154,0.1234184628356135,0.18637768269165986,0.026758575125264264,0.1837657293359897,0.023746786541589387,0.027100542259707223,0.02980944250199145,0.009278710898685448,0.054315557651395126,0.029314915271590188,0.14436494708658706,0.0017380375110971603,0.004035337454237984,0.021773588017530317,0.008656937990346716,3.421290981745522e-05,0.0006415923338771626,0.0007530481944831511,1.2540082660696412e-05,0.0011382962267319013,2.2822281629026943e-05,0.00018401359087382753
Andorra,0.37423878003362293,0.04523022068158578,0.17825462862162214,0.0017540791156548023,0.000707067058369588,0.15639850302649946,0.008007493790310035,0.002932425084833291,0.11251964618918207,0.0036894160873005032,0.01610328206667725,0.00932499446346815,0.009997983906730595,0.022206210025235984,0.0034998382881352708,0.01993301186240297,0.007572675671255753,0.0027041734437531486,0.00038039418036149743,0.002677155079755942,0.002748266268305963,0.01877962953721559,0.00034012551772132955
United Arab Emirates,0.1606151667671428,0.03986364469057533,5.646729501798425e-05,0.06677888026378334,0.064913278335673,0.4252100344860161,0.009708429319313256,2.33119284145588e-05,0.00015405101159986207,0.009845432644696223,0.03390362646818231,2.3536247289949673e-05,0.1167817210687045,0.005086636514569345,0.010344114018612512,0.018555956019085565,0.02861206990032444,0.0030703167144519546,0.0030750518973799057,0.0022123843057419773,5.377348494865941e-05,0.0009628476052132118,0.0001492690132633263
Argentina,0.01931796066325045,0.019816954962722188,0.11092813547214966,0.3334458250768159,0.004503047574485574,0.00992312713783286,0.07743840389773944,0.04090761061848157,0.0009304059541578184,0.08236072680227328,0.20891548618644898,0.026344730684286402,0.019841392683042476,0.011936494591616864,0.005603647327800555,0.009904404670543225,0.0002335927683849421,0.0008949031021904377,0.01519618132177693,0.0003990052909357393,0.0009969559851636556,0.00010273675650535566,5.827047139577768e-05
Armenia,0.3949133989821301,0.28790669755868253,0.20964001732668114,0.01230490101400972,0.019428570070330956,0.014549913906415994,0.01469672133104571,0.002536339570065174,0.00033720654896274874,2.5057869418724815e-08,0.008264733934901325,0.001199683333293781,0.003216514327581693,0.017912391756677058,0.0021425951195890554,0.0009611653598693436,0.0002517892974654866,0.007536495872837801,0.00023854901881342305,0.0013379526882441547,0.0006059678434652858,1.8366734408436866e-05,3.3466594683416464e-09
American Samoa,0.0923924765504222,0.3558095437740662,0.02429653940628953,0.040213440745335165,0.00010208582195495496,0.03254505837801031,0.0004771449935459228,0.0014226962207459118,2.9513721777901414e-05,0.010055163764588764,0.00036880617587392453,0.003324159583751848,0.016050129690955213,0.017076661961319482,0.13800610389763918,0.0860828160177991,0.017886342849275122,0.061907082837635824,0.0009325869603979031,0.0035916656476628547,0.09726059917662003,0.00016570790006360963,3.6739242689942016e-06
Antigua and Barbuda,0.025908087556515084,0.0013668790654965885,0.02391130513519332,0.013677957302647828,0.0069626206468033705,0.4061883106163103,0.010595715204298055,0.17130443259832548,0.008895434952388438,0.02608241456302867,0.004110545811443197,0.0014347630648246323,0.18754739745060517,0.03348504574789405,0.0662825801515403,0.000244745130424503,0.0002488475405691977,0.006279815287119536,0.00012316178635032052,2.1877746393360774e-05,0.0011975908788306115,0.00318610353087281,0.0009443682321250876
Australia,0.4242010692912193,0.153374941471228,0.017131187034887953,0.04935972183184346,0.04548204248884182,0.06828735152954156,0.01283195483387152,0.06936061317942337,0.003284859836455153,0.021601471721841806,0.0005232210240331736,0.047447248415500264,0.06222760277898868,0.00927411877271458,0.001923789620490996,0.0058040894494736815,0.0019726425937650087,0.004949758119867343,0.00017209725092798294,0.00022108750983006745,0.0003358399373173321,0.0001594506376447026,7.384067029222972e-05
Austria,0.24127891925984782,0.4307118593422827,0.04046879660318738,0.002223899601703024,0.11804208507307533,0.0013048583538008865,0.0002840677805995249,0.017321519014825777,0.03592105822221236,4.452909903352801e-05,0.0017620490556884293,0.05994621730688256,0.00018836464436925666,0.03685249147253272,0.002440456669908894,0.004787733605307036,0.002329890878327148,0.001734428975519867,0.0006087696026431013,0.001556523982340375,5.832780250849288e-05,7.71255527614316e-05,5.602810064256352e-05
Azerbaijan,0.010806727470117232,0.0498672983245204,0.00862804399872034,0.08389576562234811,0.38144613766308416,0.18463053343764937,0.004819411304930406,0.0019736156177999663,0.025285542829297007,0.00159950160515589,0.008157453189427346,0.0014097722483445462,0.14267162693902138,0.05375819379325672,0.0006433005933784499,0.005006447671547279,0.02253500908386252,0.004600842721290328,5.651972916181812e-05,2.2873542547927684e-06,0.00463643320712395,0.0031067713223356195,0.0004627642733723008
