,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
RM_Adulti,16886.168339810014,16452.534137521594,17429.217346718484,999.7580170157067,9250.697125872599,4516.4441263089,594.258778966132,615.7100657308379,-200.57292223707668,595.4816343582888,162.29338513814616,-1285.8794897504456,684.3591549688056,-1351.3843531849916,15948.792621073299,127.48253993955097
RM_Barbati,16452.534137521594,16548.328151986185,16487.740689766837,886.3645560645724,8031.143160994763,4156.3605748254795,597.635867869875,608.1172097816399,-228.17236241087338,615.8825896836007,166.7480225044564,-1261.0741031639923,674.0966326871655,-1332.5668084642234,15813.433900523556,156.9040911053541
RM_femei,17429.217346718484,16487.740689766837,18480.029738773745,1125.9213841623032,10445.847731239093,4875.188263525304,591.2191204322637,636.7591939616756,-176.7656361408199,580.351289549911,158.509686942959,-1318.987625334224,696.3787266042779,-1380.207760689354,16265.414376090746,93.4479436528497
RM_cancer,999.7580170157067,886.3645560645724,1125.9213841623032,977.6702661431069,-133.47016797556716,530.8780813699824,-5.799242424242422,28.722111742424246,4.448532196969694,61.6262784090909,13.145785984848487,-63.714820075757565,30.274053030303026,-70.47815772251306,822.0011725567188,-38.071062390924965
RM_cardio,9250.697125872599,8031.143160994763,10445.847731239093,-133.47016797556716,19450.86103839441,3386.7967659249557,540.8196217691623,49.31986686720143,-76.5517101158645,231.62945632798565,91.00986241087344,-858.8955408868093,629.5996379233511,-850.0938318062828,6407.422202225131,175.5358856893543
RM_vatamari,4516.4441263089,4156.3605748254795,4875.188263525304,530.8780813699824,3386.7967659249557,2594.9060863874347,186.97123718805702,59.603099933155086,-20.858110516934047,202.7460840017825,64.22605280748662,-359.8756183155081,231.46973874777177,-398.26314354275735,3429.9119491710285,84.26737020069805
RM5_boli_diareice,594.258778966132,597.635867869875,591.2191204322637,-5.799242424242422,540.8196217691623,186.97123718805702,54.24755793226382,0.1563814616755792,-13.405427807486628,25.690977049910863,9.410259859625667,-71.21991700089127,49.95070577094473,-55.50600768716579,549.4889148841353,21.62813057040998
RM5_HIV,615.7100657308379,608.1172097816399,636.7591939616756,28.722111742424246,49.31986686720143,59.603099933155086,0.1563814616755792,84.16703709893046,-6.309548518270944,7.9945769273618525,0.7344939282531195,-33.772876559714796,0.07838040329768381,-48.4483483734403,975.3692764037434,-5.451710115864526
RM5_vatamari,-200.57292223707668,-228.17236241087338,-176.7656361408199,4.448532196969694,-76.5517101158645,-20.858110516934047,-13.405427807486628,-6.309548518270944,14.419088680926913,-11.193056483957218,-3.0679205659536537,12.963133077094476,-13.23787210338681,20.91523785650623,-240.337491644385,-7.699961007130124
RM5_malaria,595.4816343582888,615.8825896836007,580.351289549911,61.6262784090909,231.62945632798565,202.7460840017825,25.690977049910863,7.9945769273618525,-11.193056483957218,63.89193905971484,11.79641488413547,-59.33790106951871,32.7342168003565,-52.881099598930476,461.4895276292334,-0.4386280080213858
RM5_pojar,162.29338513814616,166.7480225044564,158.509686942959,13.145785984848487,91.00986241087344,64.22605280748662,9.410259859625667,0.7344939282531195,-3.0679205659536537,11.79641488413547,4.330838346702318,-17.167934491978613,10.584377228163993,-14.862597482174687,141.9518493761141,6.024429032976831
RM5_neonatal,-1285.8794897504456,-1261.0741031639923,-1318.987625334224,-63.714820075757565,-858.8955408868093,-359.8756183155081,-71.21991700089127,-33.772876559714796,12.963133077094476,-59.33790106951871,-17.167934491978613,205.17796847147952,-77.75319657976829,110.84942067736182,-1274.5557653743315,1.8387199197861013
RM5_pneumonie,684.3591549688056,674.0966326871655,696.3787266042779,30.274053030303026,629.5996379233511,231.46973874777177,49.95070577094473,0.07838040329768381,-13.23787210338681,32.7342168003565,10.584377228163993,-77.75319657976829,60.21551024955437,-64.20149008467021,607.3276737967914,20.37549855169341
SV,-1351.3843531849916,-1332.5668084642234,-1380.207760689354,-70.47815772251306,-850.0938318062828,-398.26314354275735,-55.50600768716579,-48.4483483734403,20.91523785650623,-52.881099598930476,-14.862597482174687,110.84942067736182,-64.20149008467021,121.9302465095986,-1383.7366110383941,-16.863274432809774
Tuberculoza,15948.792621073299,15813.433900523556,16265.414376090746,822.0011725567188,6407.422202225131,3429.9119491710285,549.4889148841353,975.3692764037434,-240.337491644385,461.4895276292334,141.9518493761141,-1274.5557653743315,607.3276737967914,-1383.7366110383941,24974.88394415357,127.05205606457241
Polio,127.48253993955097,156.9040911053541,93.4479436528497,-38.071062390924965,175.5358856893543,84.26737020069805,21.62813057040998,-5.451710115864526,-7.699961007130124,-0.4386280080213858,6.024429032976831,1.8387199197861013,20.37549855169341,-16.863274432809774,127.05205606457241,459.1622949050087
