Code,City_x,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another,City_y,County
1017,Municipiul Alba Iulia,55671,1010,1119,4,115,13,9,0,0,0,5,3,6,38,19,0,5,4,0,7,0,13,Municipiul Alba Iulia,ab
1071,Ciugud,2941,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciugud,ab
1151,Oras Abrud,4703,29,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oras Abrud,ab
1213,Municipiul Aiud,16955,3364,930,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,Municipiul Aiud,ab
1348,Municipiul Blaj,16146,1304,1706,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipiul Blaj,ab
1455,Oras Campeni,6635,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oras Campeni,ab
1696,Oras Cugir,18985,187,672,3,40,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,Oras Cugir,ab
1794,Oras Ocna Mures,10187,1141,860,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oras Ocna Mures,ab
1874,Municipiul Sebes,22429,112,1106,0,255,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,Municipiul Sebes,ab
1936,Oras Zlatna,6710,30,344,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oras Zlatna,ab
2130,Albac,1986,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albac,ab
2309,Almasu Mare,1258,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Almasu Mare,ab
2381,Arieseni,1726,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arieseni,ab
2577,Avram Iancu,1413,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Avram Iancu,ab
2915,Oras Baia De Aries,3354,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oras Baia De Aries,ab
2988,Berghin,1699,13,81,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berghin,ab
3039,Bistra,4357,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bistra,ab
3397,Blandiana,863,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blandiana,ab
3459,Bucium,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bucium,ab
3761,Cenade,784,4,104,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cenade,ab
3805,Cergau,1252,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cergau,ab
3841,Ceru-Bacainti,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ceru-Bacainti,ab
3958,Cetatea De Balta,1347,491,912,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cetatea De Balta,ab
4008,Ciuruleasa,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciuruleasa,ab
4106,Calnic,1184,4,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Calnic,ab
4142,Cricau,1807,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cricau,ab
4188,Craciunelu De Jos,1823,58,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Craciunelu De Jos,ab
4240,Daia Romana,2691,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daia Romana,ab
4268,Dostat,901,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dostat,ab
4302,Farau,1093,348,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Farau,ab
4366,Galda De Jos,4023,298,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Galda De Jos,ab
4482,Garbova,1777,3,159,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garbova,ab
4525,Garda De Sus,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garda De Sus,ab
4703,Hoparta,890,8,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hoparta,ab
